ID,Proposal Type,Proposal Number,Application Date,Grant Date,Last Visible Status,Project Land Requirement (Hectares),Total Cost (Lakhs),Organization Name,EC Consultant,Description,Category,Project Category (Code),Project Category,Project Name,State,Sub District,Village,MoEFCC File,State File,Plot Nos,Shape of Project,Existing Non-Forest Land,Existing Forest Land,Existing Total Land,Additional Non-Forest Land,Additional Forest Land,Additional Total Land,Existing Cost,Expansion Cost,Villages Affected,Project Displaced Families,Project Affected Families,Alternative Site Examined,Alternative Site Description,Government Restriction,Litigation Pending,Violation Involved,Last Submission Date,Project Exemption Reason,Cost Benefit Report PDF,Compensatory Afforestation Type,Is Applicable Compensatory Afforestation,Organization Street,Organization City,Organization State,Organization Legal Status,Applicant Designation,Applicant City,Applicant State,Employment (Construction),Plot Number,Project Description,KML URLs,Village Code,Employment (Operational),proposal_url,District
125476234,Expansion,SIA/DN/INFRA2/535075/2025,2025-04-23T12:51:11.801+00:00,,Proposal Accepted and Referred to SEAC,0.3618,3681.31,MAGIC RETREAT,,Environment clearance form,TOR,B2,Building / Construction ,Horizon Green by Magic Retreat,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,DHAPSA,,CF/UTEAC/DNH-DD/2025/15,Survey No. 258 (Old No. 22/5),Non - Linear,0.3618,0.0,0.3618,1.3729,0.0,1.3729,368.131,3313.179,0,0,0,NO,Not Applicable,NO,NO,NO,2025-06-25T06:29:06.293+00:00,,,,,,,,,,,,6950.0,Survey No. 258 (Old No. 22/5),Horizon Greens – Residential Building Construction Project by Magic Retreat having 490 residential flats,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125461140&refType=caf&uuid=91db91bb-f36c-4884-9046-1d1914dd9bd2&version=1.0,524943,2820.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125476234,Dadra & Nagar Haveli
125265339,New,IA/DN/CRZ/534778/2025,2025-04-21T10:56:20.969+00:00,,Under Examination with SCZMA,14.67,4947.0,HITESHKUMAR DHIRAJLAL DHUKA,,CRZ clearance form,CRZ,,,"Construction of Diaphragm Wall from Ghoghla Bridge to Diu Fort, Jalandhar and Gangeshwar Area to Control Erosion and Development of Coastal Promenade from Ghoghla Bridge to Diu Fort and Development of Public Amenities including Cable Car Terminal (Ropeways) from Diu to Ghoghla",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,BUCHURWADA,,,,Non - Linear,14.67,0.0,14.67,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-21T12:46:30.812+00:00,,,,,,,,,,,,29200.0,,"The project is for development of coastal promenade and construction of diaphragm wall of 0.80 m width near Jalandhar Circuit House & near Gangeshwar Mahadev Temple and at coastal line area to protect against shore line sand erosion. Total length of diaphragm wall will be around 2355 m (1500 m at fort road area + 600 m at Gangeshwar Mahadev Temple + 255 m at Jalandhar area).;There will be construction of Cable Car Terminal (Ropeways) between Diu to Ghoghla above the Sea to attract tourist. The entire area is owned by the U.T. administration of DNH, & and Diu.;●	Total project area: 1,46,749.43 m2;●	Total Built-up Area: 10,905.29 m2;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=125252464&refType=caf&uuid=bc67984e-34d2-4ca5-bb71-48a6e04996dd&version=1.0,524908,7300.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=125265339,Diu
124556607,Expansion,IA/DN/CRZ/533444/2025,2025-04-09T11:10:16.994+00:00,,Under Examination with SCZMA,28.74,12936.0,HITESHKUMAR DHIRAJLAL DHUKA,,CRZ clearance form,CRZ,,,"Development of Modern Fishing Harbour at Vanakbara, Diu",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,BRANCAWARA,,,,Non - Linear,28.74,0.0,28.74,2.25,0.0,2.25,50.0,12886.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-04-09T12:54:12.990+00:00,,,,,,,,,,,,3055.0,,"The project aims to improve fish handling and preservation with dedicated areas for landing, sorting, grading and facilities like ice plants, chilling rooms, auction halls and packing. These upgrades will enhance fish quality, reduce post-harvest losses and extend shelf life, increasing market value. It also focuses on improving vessel operations with better docking, refueling, and loading/unloading facilities to reduce delays and costs. Additionally, support services such as vessel repairs and net mending will be provided. The project will handle a fishing capacity of 28,000 TPA.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=124538380&refType=caf&uuid=ee08f702-a6de-48a7-8aad-b28216d26a51&version=1.0,524907,1205.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=124556607,Diu
121975875,Expansion,SIA/DN/INFRA2/528373/2025,2025-03-08T10:07:57.877+00:00,2025-05-05T11:36:19.084+00:00,Withdrawal Request Accepted,1.06,6681.68,Jay jalaram developers,,Environment clearance form,TOR,B2,Building / Construction ,Krishna Tower ,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,SILVASSA,,,427/1/2/1,Non - Linear,1.06,0.0,1.06,0.526,0.0,0.526,200.0,6481.68,0,0,0,NO,Not Applicable,NO,NO,NO,2025-03-15T09:57:32.311+00:00,,,,,,,,,,,,26190.0,427/1/2/1,"The project is an expansion project. This project is Residential cum commercial project. ;;Existing: Total built-up area of 4867.18 Plot area is 10600 sq. mt. The existing project 2 Nos of apartment units- 56 and shops-10, ;;Proposed: Total built-up area of 70034.59 sq. mt. Total Plot area 15860.00 sq. mt. The proposed project 10 Nos. of apartment units- 736, shops- 26, Office-2 and Hall- 1.;",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=121923019&refType=caf&uuid=e7528424-2f10-48a6-a5fc-389d860606c1&version=1.0,802639,10950.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=121975875,Dadra & Nagar Haveli
121146964,New,FP/DN/ROAD/526207/2025,2025-02-27T11:28:28.933+00:00,,REMOVED,0.0185,950560000.0,HITESHKUMAR DHIRAJLAL DHUKA,,Forest clearance form,,,,RoW Project for Strengthening and Widening of NH 251 from Km 11.000 to Km 22.770 in Diu.,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,Zolawadi,,,,Linear,0.0,0.0185,0.0185,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-02-24T18:30:00.000+00:00,,,,false,FORT ROAD PWD OFFICE DIU,,38,Individual,Executive Engineer,,38,36.0,,Diversion of Protected Forest land for Strengthening and Widening of NH-251 from Km 11.000 to Km 22.770 in Diu. (Ch. 20+458 to Ch. 20+500).,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=121138117&refType=caf&uuid=0d91c37a-d4b1-4c42-ae6b-570a39a012c6&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=121138117&refType=FC&uuid=457f8f75-8805-4d3e-b368-0a9ad94b4a6c&version=1.0,524908,18.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=121146964,Diu
119815753,New,FP/DN/ROAD/523614/2025,2025-02-11T12:10:45.886+00:00,,REMOVED,0.5742,745637660.0,HITESHKUMAR DHIRAJLAL DHUKA,,Forest clearance form,,,,RoW Project for widdening of Village road Dagachi Diu,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,BUCHURWADA,,,180/0,Non - Linear,0.3842,0.19,0.5742,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-02-08T18:30:00.000+00:00,,,,false,FORT ROAD PWD OFFICE DIU,,38,Individual,exucative engineer ,,38,210.0,180/0,Road widdening for Existing Village Road at Dhinsa dagachi Due to Widdening of road upto 7.50 mt. Forest land wil be Taken Over ,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=97170733&refType=caf&uuid=fa1b9a3b-6f2f-4b7c-90cc-20bfb3da9433&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=97170733&refType=FC&uuid=39c94211-5bc0-4f5f-95c3-65d071096069&version=1.0,524908,57.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=119815753,Diu
119634042,New,IA/DN/CRZ/523159/2025,2025-02-08T12:50:20.397+00:00,,Under Examination with SCZMA,22.6504,6845.0, POWER GRID CORPORATION OF INDIA LTD,,CRZ clearance form,CRZ,,,400 kV M/c Navsari-Magarwada Transmission Line,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,AMBAWADI,,,,Linear,22.6504,0.0,22.6504,0.0,0.0,0.0,0.0,0.0,0,0,0,YES,,NO,NO,NO,2025-02-26T13:27:18.199+00:00,,,,,,,,,,,,3750.0,,"The subject transmission scheme involves the implementation of the Jani Vankad line and Varkund-Magarwada 400 kV M/c transmission line by Powergrid Corporation of India Limited in Daman region, a part of Navsari (New) (South Gujarat) (GIS) - Magarwada (GIS) transmission line under the Regulated Tariff Mechanism (RTM) and connectivity to the National/State Grid.",https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=119623852&refType=caf&uuid=79872b8c-f053-4116-bda8-c4a917c4d117&version=1.0,524915,127755.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=119634042,Daman
118313729,New,SIA/DN/INFRA2/519956/2025,2025-01-23T12:17:37.432+00:00,,Pending at MS SEIAA,9.432,22000.0,SILVERBILL PROPERTIES LLP,Unistar Environment & Research Labs Pvt. Ltd.,Environment clearance form,TOR,B2,Building / Construction ,"""Eden Court""",THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra & Nagar Haveli,Saily,,CF/UTEAC/DNH-DD/2025/08,"Survey No. 2207 (Old No. 491/2), 2200 (Old No. 491/1/1), 2229 (Old No. 497/3) & 2231 (Old No. 498/1/1)",Non - Linear,9.432,0.0,9.432,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-03-30T18:32:22.334+00:00,,,,,,,,,,,,5625.0,"Survey No. 2207 (Old No. 491/2), 2200 (Old No. 491/1/1), 2229 (Old No. 497/3) & 2231 (Old No. 498/1/1)",Building Construction Project ,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=118293258&refType=caf&uuid=337d61e1-e66c-48c6-8585-b3d8f7ac199d&version=1.0,524949,1835.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=118313729,Dadra & Nagar Haveli
116809142,New,SIA/DN/INFRA2/517425/2025,2025-01-06T09:22:40.370+00:00,,DELISTED_BY_SYSTEM,0.742,3000.0,marina bay procon llp,,Environment clearance form,TOR,B2,Building / Construction ,Marina Bay proposed by Marina Bay Procon LLP,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Daman,Magarwada,,CF/UTEAC/DNH-DD/2025/06,,Non - Linear,0.742,0.0,0.742,0.0,0.0,0.0,0.0,0.0,0,0,0,NO,Not Applicable,NO,NO,NO,2025-01-16T11:45:51.929+00:00,,,,,,,,,,,,6950.0,,Building Construction Project Marina Bay proposed by Marina Bay Procon LLP located at Daman,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=116806370&refType=caf&uuid=c8722fdc-02c2-4f46-9571-46468f91a304&version=1.0,524915,2820.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=116809142,Daman
116751523,New,FP/DN/ROAD/517348/2025,2025-01-05T09:51:52.068+00:00,,REMOVED,0.5742,745637660.0,HITESHKUMAR DHIRAJLAL DHUKA,,Forest clearance form,,,,RoW Project for widdening of Village road Dagachi Diu,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Diu,BUCHURWADA,,,180/0,Non - Linear,0.3842,0.19,0.5742,0.0,0.0,0.0,0.0,0.0,0,0,0,Not applicable as the project or activity is site specific,,NO,NO,NO,2025-01-05T12:35:18.174+00:00,,,,false,FORT ROAD PWD OFFICE DIU,,38,Individual,exucative engineer ,,38,210.0,180/0,Road widdening for Existing Village Road at Dhinsa dagachi Due to Widdening of road upto 7.50 mt. Forest land wil be Taken Over ,https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=40829&refId=97170733&refType=caf&uuid=fa1b9a3b-6f2f-4b7c-90cc-20bfb3da9433&version=1.0;https://parivesh.nic.in/dms/okm/downloadDocument?docTypemappingId=58989&refId=97170733&refType=FC&uuid=f09ebeba-1813-46f1-92e9-778c68d680fb&version=1.0,524908,57.0,https://parivesh.nic.in/newupgrade/#/report/ec?proposalId=116751523,Diu
